capture_date,rooms_present,source
2010-01-17,"アフラックダックの間 | イオンの間 | 音楽の間 | グリコの間 | Jリーグの間 | 永谷園生姜部の間 | ポケモンの間 | Hondaの間 | 明光義塾の間 | ユニセフの間 | ライフネット生命の間 | よしもとの間 | ワーナーの間",https://web.archive.org/web/20100117195321/http://www.wiinoma.co.jp/variety/ironnama.html
2010-03-13,"アフラックダックの間 | イオンの間 | 音楽の間 | グリコの間 | Jリーグの間 | Hondaの間 | 明光義塾の間 | ニコンの間 | よしもとの間 | ワーナーの間",https://web.archive.org/web/20100313074157/http://www.wiinoma.co.jp/variety/ironnama.html
2010-04-13,"イオンの間 | 音楽の間 | Jリーグの間 | Hondaの間 | ニコンの間 | ハイパーヨーヨーの間 | よしもとの間 | ワーナーの間",https://web.archive.org/web/20100413060627/http://www.wiinoma.co.jp/variety/ironnama.html
2010-07-24,"イオンの間 | 音楽の間 | Jリーグの間 | Hondaの間 | イリュームの間 | みんなの間 | よしもとの間 | ワーナーの間",https://web.archive.org/web/20100724142031/http://www.wiinoma.co.jp/variety/ironnama.html
2010-08-24,"イオンの間 | 音楽の間 | Jリーグの間 | Hondaの間 | イリュームの間 | みんなの間 | よしもとの間 | ワーナーの間",https://web.archive.org/web/20100824000833/http://www.wiinoma.co.jp/variety/ironnama.html
2010-09-23,"音楽の間 | Jリーグの間 | Hondaの間 | ニコンの間 | みんなの間 | よしもとの間 | ロームの間 | ワーナーの間 | 今週のプレゼントの間",https://web.archive.org/web/20100923134531/http://www.wiinoma.co.jp/variety/ironnama.html
2010-10-23,"音楽の間 | Jリーグの間 | Hondaの間 | みんなの間 | よしもとの間 | 田中貴金属の間 | ワーナーの間 | 今週のプレゼントの間",https://web.archive.org/web/20101023201851/http://www.wiinoma.co.jp/variety/ironnama.html
2010-11-18,"音楽の間 | Jリーグの間 | Hondaの間 | みんなの間 | よしもとの間 | 田中貴金属の間 | ワーナーの間",https://web.archive.org/web/20101118053431/http://www.wiinoma.co.jp/variety/
2010-11-22,"音楽の間 | Jリーグの間 | Hondaの間 | ニコンの間 | みんなの間 | 田中貴金属の間 | ワーナーの間",https://web.archive.org/web/20101122163849/http://www.wiinoma.co.jp/variety/
2010-12-18,"音楽の間 | Jリーグの間 | Hondaの間 | ニコンの間 | マクセルの間 | みんなの間 | ワーナーの間",https://web.archive.org/web/20101218180042/http://www.wiinoma.co.jp/variety/
2011-01-19,"音楽の間 | Jリーグの間 | Hondaの間 | セキスイハイムの間 | 東京海上グループ超保険の間 | ニコンの間 | みんなの間 | ワーナーの間",https://web.archive.org/web/20110119163321/http://www.wiinoma.co.jp/variety/
2011-02-25,"音楽の間 | Jリーグの間 | Hondaの間 | SOYSHの間 | ニコンの間 | みんなの間 | ワーナーの間",https://web.archive.org/web/20110225075826/http://www.wiinoma.co.jp/variety/
2011-03-23,"音楽の間 | Jリーグの間 | Hondaの間 | エディオンの間 | リコーの間 | 進研ゼミ小学講座の間 | 進研ゼミ中学講座の間 | ニコンの間 | みんなの間 | ワーナーの間",https://web.archive.org/web/20110323104156/http://www.wiinoma.co.jp/variety/
2011-05-24,"音楽の間 | エディオンの間 | クッキングの間 | すぐ禁煙の間 | みんなの間 | ワーナーの間",https://web.archive.org/web/20110524213120/http://www.wiinoma.co.jp/variety/
2011-11-02,"音楽の間 | カービィの間 | クッキングの間 | くらしの間 | みんなの間",https://web.archive.org/web/20111102130828/http://www.wiinoma.co.jp/variety/
2012-01-01,"音楽の間 | Miiの間 | カービィの間 | クッキングの間 | くらしの間 | サンリオの間 | ディズニーの間 | みんなの間",https://web.archive.org/web/20120101191625/http://www.wiinoma.co.jp/variety/
2012-01-24,"音楽の間 | Miiの間 | カービィの間 | クッキングの間 | くらしの間 | サンリオの間 | ディズニーの間 | みんなの間 | レノボの間",https://web.archive.org/web/20120124034740/http://www.wiinoma.co.jp/variety/
2012-01-31,"音楽の間 | Miiの間 | カービィの間 | クッキングの間 | くもんの間 | くらしの間 | ディズニーの間 | みんなの間 | レノボの間",https://web.archive.org/web/20120131064544/http://www.wiinoma.co.jp/variety/
2012-02-13,"音楽の間 | Miiの間 | カービィの間 | クッキングの間 | くらしの間 | ディズニーの間 | みんなの間 | レノボの間",https://web.archive.org/web/20120213091942/http://www.wiinoma.co.jp/variety/
2012-03-05,"音楽の間 | Miiの間 | ありがとうの間 | カービィの間 | クッキングの間 | くらしの間 | ディズニーの間 | みんなの間 | レノボの間",https://web.archive.org/web/20120305040448/http://www.wiinoma.co.jp/variety/
2012-03-20,"音楽の間 | Miiの間 | ありがとうの間 | カービィの間 | くらしの間 | ディズニーの間 | みんなの間 | レノボの間",https://web.archive.org/web/20120320140402/http://www.wiinoma.co.jp/variety/
2012-03-30,"Miiの間 | ありがとうの間 | カービィの間 | くらしの間 | ディズニーの間 | みんなの間 | レノボの間",https://web.archive.org/web/20120330060959/http://www.wiinoma.co.jp/variety/
2012-05-02,"Miiの間 | ありがとうの間 | カービィの間 | くらしの間 | ディズニーの間 | みんなの間 | レノボの間",https://web.archive.org/web/20120502233402/http://www.wiinoma.co.jp/variety/
